filename,true_hour,true_minute,true_minute_number,true_hour_number,said_minute_number,said_hour_number,pred_hour,pred_minute,raw_answer,minute_desc_ok,hour_desc_ok,answer_ok
clock_0000.png,7,51,10,7,10,8,8,10,"The long minute hand is pointing at the 10, and the short hour hand is pointing at the 8. Therefore, the time is 08:10.",True,False,False
clock_0001.png,11,7,1,11,12,3,3,0,"The long minute hand is pointing at the number 12, and the short hour hand is pointing at the number 3. Therefore, the time shown on the clock is 03:00.",True,False,False
clock_0002.png,5,38,8,5,6,5,5,30,"The long minute hand is pointing at the 6, and the short hour hand is pointing at the 5. Therefore, the time is 05:30.",False,True,False
clock_0003.png,10,18,4,10,4,10,10,4,"The long minute hand is pointing at the number 4, and the short hour hand is pointing at the number 10. Therefore, the time shown on the clock is 10:04.",True,True,False
clock_0004.png,7,10,2,7,2,7,7,2,"The long minute hand is pointing at the number 2, and the short hour hand is pointing at the number 7. Therefore, the time shown on the clock is 07:02.",True,True,False
clock_0005.png,11,23,5,11,4,5,5,4,"The long minute hand is pointing at the number 4, and the short hour hand is pointing at the number 5. Therefore, the time shown on the clock is 05:04.",True,False,False
clock_0006.png,5,35,7,5,6,3,3,30,"The long minute hand is pointing at the 6, and the short hour hand is pointing at the 3. Therefore, the time is 03:30.",True,False,False
clock_0007.png,8,23,5,8,6,8,8,30,"The long minute hand is pointing at the 6, and the short hour hand is pointing at the 8. Therefore, the time is 08:30.",True,True,False
clock_0008.png,3,21,4,3,3,4,4,15,"The long minute hand is pointing at the 3, and the short hour hand is pointing at the 4. Therefore, the time shown on the clock is 04:15.",True,False,False
clock_0009.png,5,1,12,5,12,5,5,0,"The long minute hand is pointing at the number 12, and the short hour hand is pointing at the number 5. Therefore, the time shown on the clock is 05:00.",True,True,False
clock_0010.png,8,43,9,8,9,8,8,45,"The long minute hand is pointing at the 9, and the short hour hand is pointing at the 8. Therefore, the time is 08:45.",True,True,False
clock_0011.png,6,1,12,6,12,6,6,0,"The long minute hand is pointing at the number 12, and the short hour hand is pointing at the number 6. Therefore, the time shown on the clock is 06:00.",True,True,False
clock_0012.png,12,20,4,12,4,3,3,20,"The long minute hand is pointing at the number 4, and the short hour hand is pointing at the number 3. Therefore, the time shown on the clock is 03:20.",True,False,False
clock_0013.png,1,11,2,1,2,1,1,2,"The long minute hand is pointing at the number 2, and the short hour hand is pointing at the number 1. Therefore, the time shown on the clock is 01:02.",True,True,False
clock_0014.png,10,21,4,10,4,10,10,4,"The long minute hand is pointing at the number 4, and the short hour hand is pointing at the number 10. Therefore, the time shown on the clock is 10:04.",True,True,False
clock_0015.png,12,24,5,12,5,4,4,5,"The long minute hand is pointing at the number 5, and the short hour hand is pointing at the number 4. Therefore, the time shown on the clock is 04:05.",True,False,False
clock_0016.png,1,26,5,1,5,2,2,30,"The long minute hand is pointing at the number 5, and the short hour hand is pointing at the number 2. Therefore, the time shown on the clock is 02:30.",True,False,False
clock_0017.png,11,41,8,11,12,8,8,0,"The long minute hand is pointing at the 12, and the short hour hand is pointing at the 8. Therefore, the time is 08:00.",False,False,False
clock_0018.png,12,59,12,12,12,3,3,0,"The long minute hand is pointing at the 12, and the short hour hand is pointing at the 3. Therefore, the time is 03:00.",True,False,False
clock_0019.png,3,43,9,3,4,9,9,20,"The long minute hand is pointing at the number 4, and the short hour hand is pointing at the number 9. Therefore, the time shown on the clock is 09:20.",False,False,False
clock_0020.png,7,51,10,7,10,8,8,10,"The long minute hand is pointing at the 10, and the short hour hand is pointing at the 8. Therefore, the time is 08:10.",True,False,False
clock_0021.png,9,2,12,9,12,9,9,0,"The long minute hand is pointing at the 12, and the short hour hand is pointing at the 9. Therefore, the time is 09:00.",True,True,False
clock_0022.png,5,50,10,5,6,10,10,30,"The long minute hand is pointing at the number 6, and the short hour hand is pointing at the number 10. Therefore, the time shown on the clock is 10:30.",False,False,False
clock_0023.png,7,20,4,7,4,7,7,4,"The long minute hand is pointing at the number 4, and the short hour hand is pointing at the number 7. Therefore, the time shown on the clock is 07:04.",True,True,False
clock_0024.png,9,38,8,9,8,7,7,8,"The long minute hand is pointing at the 8, and the short hour hand is pointing at the 7. Therefore, the time is 07:08.",True,False,False
clock_0025.png,2,3,1,2,2,1,1,2,"The long minute hand is pointing at the number 2, and the short hour hand is pointing at the number 1. Therefore, the time shown on the clock is 01:02.",True,False,False
clock_0026.png,9,59,12,9,12,6,6,0,"The long minute hand is pointing at the 12, and the short hour hand is pointing at the 6. Therefore, the time is 06:00.",True,False,False
clock_0027.png,2,57,11,2,3,9,9,15,"The long minute hand is pointing at the number 3, and the short hour hand is pointing at the number 9. Therefore, the time shown on the clock is 09:15.",False,False,False
clock_0028.png,9,25,5,9,5,9,9,5,"The long minute hand is pointing at the number 5, and the short hour hand is pointing at the number 9. Therefore, the time shown on the clock is 09:05.",True,True,False
clock_0029.png,5,1,12,5,12,5,5,0,"The long minute hand is pointing at the number 12, and the short hour hand is pointing at the number 5. Therefore, the time shown on the clock is 05:00.",True,True,False
clock_0030.png,4,27,5,4,6,4,4,30,"The long minute hand is pointing at the 6, and the short hour hand is pointing at the 4. Therefore, the time is 04:30.",True,True,False
clock_0031.png,12,6,1,12,12,1,1,0,"The long minute hand is pointing at the number 12, and the short hour hand is pointing at the number 1. Therefore, the time shown on the clock is 01:00.",True,False,False
clock_0032.png,12,7,1,12,12,3,3,0,"The long minute hand is pointing at the number 12, and the short hour hand is pointing at the number 3. Therefore, the time shown on the clock is 03:00.",True,False,False
clock_0033.png,3,13,3,3,3,2,2,15,"The long minute hand is pointing at the number 3, and the short hour hand is pointing at the number 2. Therefore, the time shown on the clock is 02:15.",True,False,False
clock_0034.png,1,35,7,1,2,10,10,2,"The long minute hand is pointing at the number 2, and the short hour hand is pointing at the number 10. Therefore, the time shown on the clock is 10:02.",False,False,False
clock_0035.png,2,39,8,2,3,8,8,0,"The long minute hand is pointing at the number 3, and the short hour hand is pointing at the number 8. Therefore, the time shown on the clock is 08:00.",False,False,False
clock_0036.png,4,1,12,4,12,4,4,0,"The long minute hand is pointing at the number 12, and the short hour hand is pointing at the number 4. Therefore, the time shown on the clock is 04:00.",True,True,False
clock_0037.png,6,53,11,6,10,7,7,10,"The long minute hand is pointing at the 10, and the short hour hand is pointing at the 7. Therefore, the time is 07:10.",True,False,False
clock_0038.png,10,3,1,10,12,9,9,0,"The long minute hand is pointing at the 12, and the short hour hand is pointing at the 9. Therefore, the time is 09:00.",True,False,False
