filename,true_hour,true_minute,raw_answer,pred_hour,pred_minute,parse_success
clock_0000.png,7,51,08:30,8,30,True
clock_0001.png,11,7,01:00,1,0,True
clock_0002.png,5,38,06:30,6,30,True
clock_0003.png,10,18,03:40,3,40,True
clock_0004.png,7,10,07:25,7,25,True
clock_0005.png,11,23,04:30,4,30,True
clock_0006.png,5,35,06:30,6,30,True
clock_0007.png,8,23,08:30,8,30,True
clock_0008.png,3,21,03:45,3,45,True
clock_0009.png,5,1,05:00,5,0,True
clock_0010.png,8,43,08:30,8,30,True
clock_0011.png,6,1,06:00,6,0,True
clock_0012.png,12,20,04:04,4,4,True
clock_0013.png,1,11,02:02,2,2,True
clock_0014.png,10,21,04:10,4,10,True
clock_0015.png,12,24,05:30,5,30,True
clock_0016.png,1,26,01:35,1,35,True
clock_0017.png,11,41,08:30,8,30,True
clock_0018.png,12,59,01:30,1,30,True
clock_0019.png,3,43,09:30,9,30,True
clock_0020.png,7,51,08:30,8,30,True
clock_0021.png,9,2,09:00,9,0,True
clock_0022.png,5,50,06:30,6,30,True
clock_0023.png,7,20,04:00,4,0,True
clock_0024.png,9,38,08:30,8,30,True
clock_0025.png,2,3,01:30,1,30,True
clock_0026.png,9,59,01:30,1,30,True
clock_0027.png,2,57,03:00,3,0,True
clock_0028.png,9,25,09:35,9,35,True
clock_0029.png,5,1,05:00,5,0,True
clock_0030.png,4,27,06:30,6,30,True
clock_0031.png,12,6,01:00,1,0,True
clock_0032.png,12,7,01:00,1,0,True
clock_0033.png,3,13,03:30,3,30,True
clock_0034.png,1,35,01:30,1,30,True
clock_0035.png,2,39,08:30,8,30,True
clock_0036.png,4,1,03:04,3,4,True
clock_0037.png,6,53,07:30,7,30,True
clock_0038.png,10,3,09:30,9,30,True
clock_0039.png,6,28,06:30,6,30,True
clock_0040.png,2,25,03:35,3,35,True
clock_0041.png,12,33,06:30,6,30,True
clock_0042.png,10,35,08:30,8,30,True
clock_0043.png,8,13,08:30,8,30,True
clock_0044.png,7,59,08:00,8,0,True
clock_0045.png,9,39,08:30,8,30,True
clock_0046.png,5,15,03:30,3,30,True
clock_0047.png,2,46,09:30,9,30,True
clock_0048.png,5,23,04:30,4,30,True
clock_0049.png,10,24,05:30,5,30,True
clock_0050.png,12,59,01:30,1,30,True
clock_0051.png,12,44,09:30,9,30,True
clock_0052.png,9,28,09:30,9,30,True
clock_0053.png,1,24,05:30,5,30,True
clock_0054.png,7,8,07:30,7,30,True
clock_0055.png,8,0,08:00,8,0,True
clock_0056.png,12,7,01:00,1,0,True
clock_0057.png,8,10,02:35,2,35,True
clock_0058.png,3,16,03:30,3,30,True
clock_0059.png,8,34,07:30,7,30,True
clock_0060.png,3,32,06:30,6,30,True
clock_0061.png,11,4,01:00,1,0,True
clock_0062.png,10,38,08:30,8,30,True
clock_0063.png,10,40,09:30,9,30,True
clock_0064.png,12,6,01:00,1,0,True
clock_0065.png,9,7,09:00,9,0,True
clock_0066.png,12,33,06:30,6,30,True
clock_0067.png,1,47,09:30,9,30,True
clock_0068.png,7,22,07:30,7,30,True
clock_0069.png,8,36,07:30,7,30,True
clock_0070.png,3,43,09:30,9,30,True
clock_0071.png,8,21,08:45,8,45,True
